product_id,product_name,catergory,original_price,actual_price,discounted_price,price_tier,rating,rating_count,total_ratings,is_discounted,rating_category,user_id,review_id,review_content,review_word_count
B07JW9H4J1,"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,"$3,052.78 "," $1,099.00 ", $399.00 ,Midrange,4.2,24269,101929.8,Yes,Postive,"Manav,Adarsh gupta,Sundeep,S.Sayeed Ahmed,jaspreet singh,Khaja moin,Anand,S.ARUMUGAM","R1LBKT3YDVVW86,R2PNLSWFYW5QEF,R2I6NKZE7JWNY6,R2OFZC94RLNDG3,R1XIUI1I006DHG,RI07TDJ2DO7ID,RYFM2V5BULJFL,R29WQI1TRENQIZ","Got it with intact packaging open it up the motor and jars were shining, We have been using this mixer for few months and it works wonders. I have been using the dry grinder jar for grinding turmeric, rice for my 6 month old and chutney jar for different types of chutney. We have used many other brands mixer but never had this powerful smooth working one. U should go for it.,Mixer and pots' quality are good but chuteney jar is of big size hence not good for small daily masala grinding. Should have provided small jar or option to select.,Good,Very good product, efficient working.,Working very well without giving any problem,??,Excellent product!,This is such a big name in my family, and it holds the name true. Well packed, and really good finish. Very happy.",483
B098NS6PVG,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, PD Technology, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,$612.28 , $349.00 , $199.00 ,Budget,4,43994,175976,Yes,Postive,"ArdKn,Nirbhay kumar,Sagar Viswanathan,Asp,Placeholder,BharanI,sonia,Niam","R3VVDILPFTB4N,R33D06F6025R9G,R2I3H0WMODAWBP,R1AF6E3N2B9CB2,R36R7R03G3ZTT9,R26LX5GA0LIZA8,R376OUGP5M5AHS,R1MC6HR3Y1OZWE","The iron had water still inside it, the plastic clips were half opened and the box looked like it was opened , the Amazon box was intact . Just that product box was taped up . Expected to get a new product and not a renewed item .If I knew I was buying a renewed item I wouldn’t have paid full price .,Good product,The product is good but not for steam iron. Water dripping outside of the iron box wetting the cloth.,This product is easy to use as no problem of wire and works fine and take more time remove wrinkles,1) 1380W is not enough for cordless design ( Quickly looses heat while usage & takes time to re heat - you often end up waiting for the unit to get reheated ! - Corded Design is better for 1000W range models.2) Though this Has continuous steam option -  this drastically reduces the usable time and once you return the unit to base - excessive water dripping issues can be noted. Condensed water flows down the base to the table !!!3) User manual does not cover all necessary details.Overall - this is NOT a well designed product. &  Not happy with Real life usage,nice product,temperature drops down very fast,Socket of the holding station seems loose. Sometime need to press down hard on the holding station.",1187
B096MSW6CT,"Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini & iOS Devices",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,"$18,990.00 "," $1,899.00 ", $199.00 ,Midrange,3.9,7928,30919.2,Yes,Negative,"Kunal,Himanshu,viswanath,sai niharka,saqib malik,Aashiq,Ramu Challa,Sanjay gupta","R1TD8NMUP7Y7JR,R14MB9E0621MTM,RR23X5VXCOUKW,R37T5HQG9ZZLQM,RTID73IKA1G3K,R2H0S2S7BMUIHH,R1WZZ9OM0LBYFR,R2Q28C8LX2Y717","My review of using new Vacuum Mop Pro 2 for 3 days...1. The product is a bit tricky to setup with the app and you have to follow YouTube videos to get it setup. I wish Xiaomi provides video tutorial links in their user manuals. They don't mention it but we need Bluetooth and WiFi connection to be setup, for the app and robot  to work together. This tip is missing in user manual.2. WiFi connectivity does get lost sometimes but that is because my router is far from certain places in my house. That time the robot needs to be brought back to the WiFi range. 5GHz connection does not work with this model.3. The robot takes anywhere between 40-60 minutes to completely vaccum my 800 sq. ft house. Battery life is really good in the new model. 50% or more is still left after one complete sweep or mop cycle of my house. Charging is also not bad. It took 1.5 hrs for it to charge full 100% the first time.4. Couple of times it got confused in a specific area in my house and I had to reset the entire house map for it to work properly again. Once the map was created and the device has sweeped and mopped that area for a couple of times, it would not repeat this behavior.5. Dusting is of A1 quality. Each time the amount of dust collected is staggering. We never knew we had so much dust in our house!6. Mopping is average. I would call it ""light wiping"" and not mopping. Hard stains or sticky stains or dry stains are not affected by the mopping. Only light dust or weak stickiness gets wiped out. Adding a bit of floor cleaning liquid or Vim liquid in the water helps.7. Vacuum + Mop mixed mode is limited in its effectiveness. In this mode, mopping sometimes wets the floor and causes dry dust to stick to the floor which the vaccum is not able to pick up.I recommend vacuum and mop as two separate cycles.8. Keeping mop extension attached to the robot all the time causes mopping cloth to accumulate dirt, and when it gets dragged along the floor it causes wet dirty mop to be wiped around the house. This is not ideal. So it's important to remove that extension from the vacuum bot when you are only vacuuming and not mopping.9. The mop works horribly on door mats (main door or bathroom mats). It gets very dirty when it moves over mats and then that wet dirt spreads all over the place. So please remove all the mats, esp. during mopping session.10. Noise levels are pretty low in medium mode. Sometimes we don't even know where it has gone, it gets so quiet.Pros.* Battery life* Suction power* Noise levels* VacuumingCons* Mopping is average. It's at best can be called as light wiping.* Setup is bit tricky, user manual is insufficient. Xiaomi does not contact or send any demo person at home. You have to figure it out using YouTube videos. I can see old people or non tech savvy people will highly struggle with this thing.* Once the device is confused it doesn't correct itself automatically. It needs a map reset.* Door mats make the mop even dirtier so please remove them or other items on the floor before mopping.Such tips nobody gives you and you have to learn them on your own.But I still recommend this device as it is very effective in sweeping the dust in the house clean.,ProsFor cleaning dust it is very good .we can set daily schedule.even if we forget to do so it will automatically does the work by setting schedule ...cleaning the box after its work is also not  very hectic..brushes are providing..We can set restricted areas.ConesMost of the hairs n threads are stuck through the round main brush.. little difficult to clear the brush.It has been more than 1 year iam using this.One time the movement is low .when ichecked..so many hairs are stucked in its wheel.it was little  difficult to clear the hair strands.Mopping it is average only..only takes very little amount of water.so oily things will remain in the floor..once or twice  in week we have to do mopping with plenty of water and lizol..It can't reach the sharp corners also.Once we create restricted area..by the time of using it couldn't detect the proper area we marked..so it enter those area and get stuck most of the times.it is main thing I hate about this product..remaining things are okay....then we have to reset the map and set restricted area again..it is bit annoyingOverall it is very good for me...my brooming is almost completely replaced by this ...once in week I do the complete cleaning with broom to all areas that didn't covered by this machine ..,In all other aspect like, price, battery,app feature, suction and cleaning its really very good product.I find it very useful and nice to have product.So will directly make note of  some drawbacks/improvent area, i observed.1) Sometimes it gets confused or leaves a specific section of bedroom even though there has been no obstacle.2) Its little noisy or I will say not a silent thing in standard suction power, though that with any vaccuum cleaner.3) Xiaomi could have provides extra Hepa filter with it.4) vaccum+mop doesn't clean properly and rather sticks dust to floor because of wet brush, so I do vaccum and then only mop subsequently is best option.5) Charging is super slow, if compared with any 5200mAh battery with mobile fast charger, its ~10 times slower despite such, a big docking charger.,I am a bachelor and i do not like Maid coming to my house.this solves the purpose. It is great at vacuuming my 2000 Sqft house. It can do it on turbo mode with dual cleaning in single battery life. was surprised with the vacuum power and battery life. It collects way more dust than the manual brooming.It can skip corners and narrow places. Once in a while i just broom the corners and bring the dust in the middle before turning the robot on.5/5 for navigation and room mapping.Mopping is equally bad. Mop does not cover whole area and it leaves trails. it leaves the floor looking worse than the un mopped floor. Also water tank broke in just few cleanings.Recommended for vacuuming purpose.,Very good product. Very helpful product in my home.,We purchased the product in April and now it is not working.After charging it is running for less than one minute and getting stopped,Easy to use and Working well little bit of noise is there but acceptable.,Helping hand. More reliable than maids. Does the job well. Once in 4 days you need to mop yourself. Good suction power.",271
B08HDJ86NZ,"boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Tangle-Free, Sturdy Cable with 3A Fast Charging & 480mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Martian Red)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,"$1,487.23 ", $699.00 , $329.00 ,Midrange,4.2,94363,396324.6,Yes,Postive,"Omkar dhale,JD,HEMALATHA,Ajwadh a.,amar singh chouhan,Ravi Siddan,Himanshu Goel,Udaykumar","RET6MLCT292IA,R28KTF1812QBSY,RSQKDGLTZET66,R27B4L6ORUNWP0,RVAY1H2CHPFD5,R3H5NH63Y26SZ7,R2OQU5R4OZWFTT,R3UXSYW0X740ED","A reasonably good product,,A bit costly for me,,Using since 1 year . No problem faced.sound is normal.,The shape does not fit where i want to get it installed. I want the round one. Can i get it exchanged or returned please?,Easy to use,Good product but the speed is a bit low. Hence less suction power. Very low noise.",443
B08CF3B7N1,"Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function for iPhone, iPad (Grey)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,"$1,023.08 ", $399.00 , $154.00 ,Budget,4.2,16905,71001,Yes,Postive,"rahuls6099,Swasat Borah,Ajay Wadke,Pranali,RVK,Bhargav,Durai Vignesh,Amazon Customer","R13Q2BLBWFPEJF,R3FVMXIFTJ8J70,RE4J9O3GFANNE,RBDZELVBRCEKZ,RKUIUH511UFQ,R6M4QYFXEWFW0,R13CCSI2Y1TWIV,R1AN2NIKVZM6JO","Really happy that I chose this for my Mom. Made her life quite easier. We r a large family of 8 & have used it only for kneading flour. It does the work its intended for,Very much helpful product easy to handle good to go for,https://m.media-amazon.com/images/I/61rjfYCs0qL._SY88.jpg,Nice product??,I m using this stand mixer for making cakes. It's great .,Used for making dough, it went well and it was quick one. May be due to its planetary motion, it's making sound than expected.,Very sturdy,Dough maker",2451
B08Y1TFSP6,"pTron Solero TB301 3A Type-C Data and Fast Charging Cable, Made in India, 480Mbps Data Sync, Strong and Durable 1.5-Meter Nylon Braided USB Cable for Type-C Devices for Charging Adapter (Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,"$6,666.67 "," $1,000.00 ", $149.00 ,Midrange,3.9,24871,96996.9,Yes,Negative,"Jayesh,Rajesh k.,Soopy,amazon customer,Aman,Shankar,dinesh,Chitra,Ajaybabu.O.M","R7UIR1SQ3MQ7C,RSHEPWEKELRFO,R1I98SU56895RX,R3QY58980PL4G7,R3SP1VLD2ICGHM,R2HI4MKCC9V5CH,R1GWIC0YK34JRS,RD6Q3K7ATDOMX","Good quality fan. Finish and colour was good. They even gave a safety metal rope for added safety.,Wind size improve,,Good fan from bugget,No Ani dast,,I am not satisfied this product,https://m.media-amazon.com/images/I/51-wl+rlQPL._SY88.jpg",250
B08WRWPM22,"boAt Micro USB 55 Tangle-free, Sturdy Micro USB Cable with 3A Fast Charging & 480mbps Data Transmission (Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,"$1,425.71 ", $499.00 , $176.63 ,Budget,4.1,15188,62270.8,Yes,Postive,"Vivek kumar,Amazon Customer,SARTHAK,Chiranjeevi,V V GIRI KUMAR,Rajnandini,Akshay Talla,sudhanshu chaubey","R20SPV6WPX1ZU1,RXRM37GL3SHHH,R1LU6AOHGKF97O,R15V75C4M038Q1,R1Q4Q235B1LFNX,R38UQB68VZ4SUY,R2YTO8AY71C7JE,R35LRIA95CG65D","received a product yet to use and give further review however quality is nice. Instructions are clear and easy to understand.,Everything is fine but the power chord is too short, only 50-60 cm length. No flexibility in the use of the machine in the kitchen or other place. Check if the power wirelength is sufficient for your use before you order.,Awesome waffles are prepared, should go for this,Very nice product. Easy to make waffles. Easy to use . Worthit to buy.,Amazing product worth each penny ! At the cost of 5 waffle one can get life time anytime waffle!super easy to make waffle.Be careful for outer plastic body ,very fragile !,I made waffles for the first time. To make it crunchy ensure you don't fill in too much batter and also keep it for a little longer even after the light turns green. Keep an eye on it till u get a dark color of waffle [ensure it doesn't burn ;) ]. Good for household use. Easy to clean. Wire is a too short but it's manageable for me so I gave it 5 stars as it is as per my expectations.,The waffle iron does not heat enough to make the waffles in the time indicated by either the light or the cooking time on the recipe. Tried it for the first time today. Let’s see if it lasts.,Very good, Easy, Good quality,Waffle maker in the market available, Very affordable price, Great deal",590
B08DDRGWTJ,MI Usb Type-C Cable Smartphone (Black),Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,$388.31 , $299.00 , $229.00 ,Budget,4.3,30411,130767.3,Yes,Postive,"Pavan A H,Jayesh bagad,Shridhar,rajendran,karuppu k,Akshay wani,Abbimaniu Singh,VISHAL H BADSHE","R3E5WJVPAKKEF1,R35VC2K2S2FQGC,R1AIDBLOPDFHFK,R1GQXAGB604WC1,RORXQ24THT5LS,R240THZS4YWK4R,R31H48RDL3O4K9,R3B3A9EA9DKDXN","If you are not looking for a expensive product this is a good choice for you.Decent size.Looks decent not great (You know what you are paying :) )I would recommend this product.,The product is good.Delivery made in a beautiful way- nice packaging,Good one but should be handled with care. It's so light and weight. For less clothes it can be used,Handles not stitched well.,Super product........??good thickness...,It ok,Good sturdiness , durable and good buy for the money..,It's a so so product. Not so sturdy and durable.Not also free standing sometimeLittle bit expensive.Storing capacity is good",757
B008IFXQFU,"TP-Link USB WiFi Adapter for PC(TL-WN725N), N150 Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible with Windows 11/10/7/8/8.1/XP/ Mac OS 10.9-10.15 Linux Kernel 2.6.18-4.4.3",Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,"$1,998.00 ", $999.00 , $499.00 ,Midrange,4.2,179691,754702.2,Yes,Postive,"Azhar JuMan,Anirudh Sood,Hari Krishnan PS,Akash Jindal,PRADEEP,Rajesh,Divya Kothari,abhijit","R32YNMGVH3EGMZ,R1O2HX15IC0KCM,RQPKLLF0EQESW,R6CXBNPC3JUIO,R2PAIJQ4JQT4EE,R6IWEVMWJ6MD,R1E1LTXU1CPT48,R2648DSDGDSC63","I m using  this for my personal  room,Nice product for winter season,Good product and price,This device is febulous.,The handy heater is good for student.I brought specially for study I am happy,I am using for my room and giving proper heat but takes time to increase overall room temperature.  value for money portable heater can be used anywhere.,It is handy easy to carry good heater no extra wire directly fit into the socket.,I loved this product. It's smaller in size, portable, easy to use and most importantly doesn't consume much power.",3982
B082LZGK39,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Micro USB Cable for Smartphones, Tablets, Laptops & Other Micro USB Devices, 480Mbps Data Sync, Quick Charge 3.0 (RCM15, Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,$446.27 , $299.00 , $199.00 ,Budget,4,43994,175976,Yes,Postive,"ArdKn,Nirbhay kumar,Sagar Viswanathan,Asp,Placeholder,BharanI,sonia,Niam","R8C32TJ4LFEH2,R1PEE4BCM8AE46,R2H8MA3JJ3KWBS,R1YMUX3PF91A1L,R32ZAHCTMN2A02,R21Q1UO7WME33S,R1HJB9OT30WHJL,R24NYI1HOKDQ1W","Product is OK, but huge noise irritatate use the product,Liked the blower function and also the suction is strong however the machine is too loud and the extensions could have been longer.,The noise level is too much hope they made a device with noise level low,Reviewing after 3 weeks of use. Bought for cleaning purpose in my small garments unit. Cleans the dust very effectively. Easy to use & move. Paper bag inside to collect the dust & other particles is not good enough. Wil tore easily. But can use the VC without it. Performance wise its a good product.,,Suction is by far the best I have seen among all Vacuum Cleaners. Blower is however average.  Over all no doubt one of the best vacuum cleaners available in this price range.,https://m.media-amazon.com/images/I/51QUzG+l+qL._SY88.jpg,This is my genuine rating.  Whole thing is good. If you want you can buy more accessories according to our use.  Sound is a bot high, but it's how this works with high suction power. It got it's own space for keeping accessories  that's cool",1187
